Código,Nombre,CWA,Disciplina,Estado,HH Estimadas,Fecha Inicio,Fecha Fin,EWP,EWP Estado,PWP,PWP Estado
"CWP-02-C-01","CONSTRUCCIÓN DE CAMINOS Y VEREDAS","CWA-02","C - Civil/Geotecnia","PLANNED","7100","02-02-2027","03-03-2027","EWP-02-C-01","PLANNED","PWP-02-C-01","EDITING"
"CWP-03-E-01","INSTALACIONES ELÉCTRICAS PLANTA ENFRIADO DE AIRE","CWA-03","E - Electricidad","PLANNED","12932","01-06-2027","30-06-2027","EWP-03-E-01","PLANNED","PWP-03-E-01","EDITING"
"CWP-04-E-01","INSTALACIONES ELÉCTRICAS PLANTA COMPRESIÓN DE AIRE","CWA-04","E - Electricidad","PLANNED","6814","01-06-2027","14-06-2027","EWP-04-E-01","PLANNED","PWP-04-E-01","EDITING"
"CWP-05-E-01","INSTALACIONES ELÉCTRICAS PLANTA ALMACENAMIENTO DE REACTIVOS","CWA-05","E - Electricidad","PLANNED","20150","16-06-2027","16-07-2027","EWP-05-E-01","PLANNED","PWP-05-E-01","EDITING"
"CWP-06-E-01","INSTALACIONES ELÉCTRICAS PIPE RACK","CWA-06","E - Electricidad","PLANNED","5430","17-07-2027","31-07-2027","EWP-06-E-01","PLANNED","PWP-06-E-01","EDITING"
"CWP-07-E-01","INSTALACIONES ELÉCTRICAS SUBESTACIONES 1 Y 2","CWA-07","E - Electricidad","PLANNED","29100","15-07-2027","29-09-2027","EWP-07-E-01","PLANNED","PWP-07-E-01","EDITING"
"CWP-08-E-01","INSTALACIONES ELÉCTRICAS OBRAS TRANSVERALES","CWA-08","E - Electricidad","PLANNED","","","","EWP-08-E-01","PLANNED","PWP-08-E-01","EDITING"
"CWP-03-H-01","CONSTRUCCIÓN DE ESTRUCTURAS DE HORMIGÓN PLANTA ENFRIADO DE AGUA","CWA-03","H - Estructuras Hormigón","PLANNED","3493","04-03-2027","30-03-2027","EWP-03-H-01","PLANNED","PWP-03-H-01","EDITING"
"CWP-04-H-01","CONSTRUCCIÓN DE ESTRUCTURAS DE HORMIGÓN PLANTA COMPRESIÓN DE AIRE","CWA-04","H - Estructuras Hormigón","PLANNED","2196","02-02-2027","28-02-2027","EWP-04-H-01","PLANNED","PWP-04-H-01","EDITING"
"CWP-05-H-01","CONSTRUCCIÓN DE ESTRUCTURAS DE HORMIGÓN PLANTA ALMACENAMIENTO DE REACTIVOS","CWA-05","H - Estructuras Hormigón","PLANNED","6500","04-04-2027","17-04-2027","EWP-05-H-01","PLANNED","PWP-05-H-01","EDITING"
"CWP-06-H-01","CONSTRUCCIÓN DE ESTRUCTURAS DE HORMIGÓN PIPE RACK","CWA-06","H - Estructuras Hormigón","PLANNED","3620","03-05-2027","15-05-2027","EWP-06-H-01","PLANNED","PWP-06-H-01","EDITING"
"CWP-07-H-01","CONSTRUCCIÓN DE ESTRUCTURAS DE HORMIGÓN SUBESTACIONES 1 Y 2","CWA-07","H - Estructuras Hormigón","PLANNED","3880","02-06-2027","15-06-2027","EWP-07-H-01","PLANNED","PWP-07-H-01","EDITING"
"CWP-04-I-01","INSTALACIONES INSTRUMENTACIÓN PLANTA COMPRESIÓN DE AIRE","CWA-04","I - Instrumentación, Control y Telecomunicaciones","PLANNED","1317","15-06-2027","01-07-2027","EWP-04-I-01","PLANNED","PWP-04-I-01","EDITING"
"CWP-05-I-01","INSTALACIONES INSTRUMENTACIÓN PLANTA ALMACENAMIENTO DE REACTIVOS","CWA-05","I - Instrumentación, Control y Telecomunicaciones","PLANNED","3900","16-07-2027","30-07-2027","EWP-05-I-01","PLANNED","PWP-05-I-01","EDITING"
"CWP-03-M-01","MONTAJE DE EQUIPOS MECÁNICOS PLANTA ENFRIADO DE AGUA","CWA-03","M - Mecánica/Equipos","PLANNED","16132","16-04-2027","30-04-2027","EWP-03-M-01","PLANNED","PWP-03-M-01","EDITING"
"CWP-04-M-01","MONTAJE DE EQUIPOS MECÁNICOS PLANTA COMPRESIÓN DE AIRE","CWA-04","M - Mecánica/Equipos","PLANNED","10142","01-04-2027","30-04-2027","EWP-04-M-01","PLANNED","PWP-04-M-01","EDITING"
"CWP-05-M-01","MONTAJE DE EQUIPOS MECÁNICOS PLANTA ALMACENAMIENTO DE REACTIVOS","CWA-05","M - Mecánica/Equipos","PLANNED","30000","16-05-2027","14-09-2027","EWP-05-M-01","PLANNED","PWP-05-M-01","EDITING"
"CWP-03-P-01","MONTAJE CAÑERÍAS PLANTA ENFRIADO DE AGUA","CWA-03","P - Cañerías/Tuberías","PLANNED","6290","01-05-2027","30-05-2027","EWP-03-P-01","PLANNED","PWP-03-P-01","EDITING"
